代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,0.0,0.0,0.0,15.68,15.68,15.69,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920001,纬达光电,0.0,0.0,0.0,14.06,14.06,14.24,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920002,万达轴承,0.0,0.0,0.0,81.11,82.0,81.74,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920003,中诚咨询,0.0,0.0,0.0,30.3,30.3,30.38,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920005,鼎佳精密,0.0,0.0,0.0,34.46,34.61,34.46,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920006,晟楠科技,0.0,0.0,0.0,19.32,19.32,19.53,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920007,酉立智能,0.0,0.0,0.0,52.13,52.13,53.43,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920008,成电光信,0.0,0.0,0.0,25.28,25.28,25.15,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920009,丹娜生物,0.0,0.0,0.0,63.99,63.99,64.0,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920010,凯添燃气,0.0,0.0,0.0,11.7,11.7,11.75,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920011,晨光电机,0.0,0.0,0.0,24.5,24.5,24.6,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920012,创达新材,0.0,0.0,0.0,55.05,55.05,55.66,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920014,特瑞斯,0.0,0.0,0.0,11.81,11.81,11.71,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920015,锦华新材,0.0,0.0,0.0,38.63,38.63,39.73,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920016,中草香料,0.0,0.0,0.0,16.6,16.81,16.66,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920017,星昊医药,0.0,0.0,0.0,17.77,17.77,17.43,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920018,宏远股份,0.0,0.0,0.0,28.4,28.4,28.4,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920019,铜冠矿建,0.0,0.0,0.0,17.94,17.94,17.82,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920020,泰凯英,0.0,0.0,0.0,15.8,15.8,15.81,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920021,流金科技,0.0,0.0,0.0,9.77,9.77,9.48,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920022,世昌股份,0.0,0.0,0.0,26.2,26.2,25.96,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920023,*ST田野,0.0,0.0,0.0,2.3,2.3,2.59,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920026,卓兆点胶,0.0,0.0,0.0,33.58,33.58,34.2,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920027,交大铁发,0.0,0.0,0.0,17.98,17.98,17.85,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920028,新恒泰,0.0,0.0,0.0,17.11,17.11,17.45,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920029,开发科技,0.0,0.0,0.0,71.52,71.52,72.6,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920030,德众汽车,0.0,0.0,0.0,5.67,5.67,5.67,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920033,康普化学,0.0,0.0,0.0,16.51,16.51,16.66,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920035,精创电气,0.0,0.0,0.0,29.9,29.9,30.0,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920036,觅睿科技,0.0,0.0,0.0,40.23,40.23,40.25,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920037,广信科技,0.0,0.0,0.0,76.54,76.54,75.56,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920039,国义招标,0.0,0.0,0.0,9.25,9.37,9.25,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920045,蘅东光,0.0,0.0,0.0,555.6,555.6,570.52,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920046,亿能电力,0.0,0.0,0.0,25.55,25.55,25.42,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920047,诺思兰德,0.0,0.0,0.0,26.05,26.05,26.05,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920050,爱舍伦,0.0,0.0,0.0,32.63,32.63,32.63,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920055,隆源股份,0.0,0.0,0.0,34.17,34.51,34.53,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920056,能之光,0.0,0.0,0.0,22.0,22.0,22.09,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920057,百甲科技,0.0,0.0,0.0,6.1,6.1,6.09,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920058,华洋赛车,0.0,0.0,0.0,27.31,27.8,27.59,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920060,万源通,0.0,0.0,0.0,31.53,31.53,32.53,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920061,西磁科技,0.0,0.0,0.0,24.79,24.79,25.8,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920062,科润智控,0.0,0.0,0.0,10.11,10.11,10.17,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920066,科拜尔,0.0,0.0,0.0,21.25,21.55,21.39,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920068,天工股份,0.0,0.0,0.0,20.2,20.2,20.25,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920069,普昂医疗,0.0,0.0,0.0,38.79,38.79,38.87,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920075,柏星龙,0.0,0.0,0.0,20.62,20.62,20.81,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920076,国亮新材,0.0,0.0,0.0,21.15,21.15,20.99,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920077,吉林碳谷,0.0,0.0,0.0,18.68,18.68,18.68,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920078,族兴新材,0.0,0.0,0.0,25.0,25.0,25.3,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920080,奥美森,0.0,0.0,0.0,24.0,24.0,23.84,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920082,方正阀门,0.0,0.0,0.0,14.88,14.88,14.88,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920086,科马材料,0.0,0.0,0.0,28.93,28.93,28.93,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920087,秋乐种业,0.0,0.0,0.0,13.9,13.9,13.45,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920088,科力股份,0.0,0.0,0.0,48.2,48.2,47.63,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920089,禾昌聚合,0.0,0.0,0.0,17.67,17.67,17.82,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920090,*ST同辉,0.0,0.0,0.0,4.72,4.72,4.85,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920091,大鹏工业,0.0,0.0,0.0,52.0,52.0,50.17,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920092,汉鑫科技,0.0,0.0,0.0,28.44,28.44,28.34,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920098,科隆新材,0.0,0.0,0.0,25.28,25.6,25.28,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920099,瑞华技术,0.0,0.0,0.0,29.94,29.94,29.94,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920100,三协电机,0.0,0.0,0.0,47.47,48.68,47.47,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920101,志高机械,0.0,0.0,0.0,34.24,34.24,34.24,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920106,林泰新材,0.0,0.0,0.0,61.5,61.5,62.99,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920108,宏海科技,0.0,0.0,0.0,11.37,11.37,10.74,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920110,雷特科技,0.0,0.0,0.0,32.85,32.85,32.16,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920111,聚星科技,0.0,0.0,0.0,33.2,33.2,33.2,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920112,巴兰仕,0.0,0.0,0.0,31.96,31.96,32.27,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920116,星图测控,0.0,0.0,0.0,95.17,95.17,96.43,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920118,太湖远大,0.0,0.0,0.0,20.71,20.71,20.33,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920119,美德乐,0.0,0.0,0.0,93.02,93.02,93.68,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920121,江天科技,0.0,0.0,0.0,35.92,35.92,35.55,0.0,0.0,0.0,0.0,0.0,09:23:48
bj920122,中纺标,0.0,0.0,0.0,26.3,26.3,25.96,0.0,0.0,0.0,0.0,0.0,09:23:48
